graph         , num_nodes, num_edges, avg_degree, ms_t1      , ms_t2     , ms_t4    , ms_t8     , ms_t16    , ms_t32    , mteps_t1 , mteps_t2  , mteps_t4 , mteps_t8  , mteps_t16 , mteps_t32  , speedup_t2, speedup_t4, speedup_t8, speedup_t16, speedup_t32
chesapeake    ,        39,       340,    8.71795,    0.010603,   0.430552,   0.11424,   0.158585,   0.267922,   0.535252,  32.0664 ,   0.789684,   2.97619,    2.14396,    1.26903,    0.635215,  0.0246265,  0.0928134,    0.06686,    0.039575,   0.0198094
hollywood-2009,   1139905, 113891327,   99.913  ,  287.539   , 208.635   , 125.466  ,  87.8118  ,  65.6258  ,  63.3813  , 396.089  , 545.888   , 907.745  , 1296.99   , 1735.47   , 1796.92    ,  1.37819  ,  2.29177  ,    3.2745 ,    4.3815  ,   4.53666
ldoor         ,    952203,  46522475,   48.8577 ,  273.7     , 160.863   ,  89.1116 ,  49.7055  ,  31.3636  ,  28.4473  , 169.976  , 289.206   , 522.07   ,  935.962  , 1483.33   , 1635.39    ,  1.70145  ,  3.07143  ,    5.50642,    8.72667 ,   9.62131
roadNet-CA    ,   1971281,   5533214,    2.80691, 1320.25    , 680.504   , 367.725  , 194.614   , 108.234   , 106.909   ,   4.19104,   8.13105 ,  15.0471 ,   28.4317 ,   51.1229 ,   51.7561  ,  1.9401   ,  3.59031  ,    6.78393,   12.1981  ,  12.3492
chesapeake,39,340,8.71795,0.005914,0.011963,0.305908,0.095655,0.22742,0.533044,57.4907,28.421,1.11145,3.55444,1.49503,0.637846,0.494358,0.0193326,0.0618264,0.0260047,0.0110948
hollywood-2009,1139905,113891327,99.913,283.216,184.453,124.723,87.2538,65.5678,62.7597,402.137,617.454,913.154,1305.29,1737,1814.72,1.53543,2.27076,3.24588,4.31943,4.5127
ldoor,952203,46522475,48.8577,272.456,152.98,83.2474,46.916,29.1108,26.8538,170.752,304.108,558.846,991.611,1598.12,1732.43,1.78099,3.27285,5.80731,9.35929,10.1459
roadNet-CA,1971281,5533214,2.80691,1313.99,677.524,364.385,196.286,110.627,109.636,4.211,8.16681,15.1851,28.1896,50.0169,50.4688,1.9394,3.60605,6.69427,11.8777,11.985
chesapeake,39,340,8.71795,0.006424,0.009932,0.331692,0.111178,0.227556,0.489244,52.9265,34.2328,1.02505,3.05816,1.49414,0.69495,0.646798,0.0193674,0.0577812,0.0282304,0.0131305
hollywood-2009,1139905,113891327,99.913,304.538,195.983,140.18,93.983,71.9869,84.6826,373.981,581.13,812.464,1211.83,1582.11,1344.92,1.5539,2.17247,3.24035,4.23046,3.59623
ldoor,952203,46522475,48.8577,406.563,217.585,143.865,77.5658,61.2984,56.1874,114.429,213.812,323.377,599.78,758.951,827.987,1.86852,2.82601,5.24153,6.63253,7.23585
roadNet-CA,1971281,5533214,2.80691,1500.38,786.896,427.786,340.547,180.377,110.908,3.68788,7.0317,12.9345,16.248,30.6759,49.8903,1.9067,3.50731,4.40578,8.31803,13.5282
chesapeake,39,340,8.71795,0.005936,0.010401,0.328615,0.097212,0.23592,0.477779,57.2776,32.6892,1.03465,3.49751,1.44117,0.711626,0.570714,0.0180637,0.0610624,0.0251611,0.0124242
hollywood-2009,1139905,113891327,99.913,283.322,184.658,124.286,86.7667,65.265,62.5273,401.985,616.77,916.363,1312.62,1745.06,1821.47,1.53431,2.2796,3.26534,4.34111,4.53118
ldoor,952203,46522475,48.8577,272.739,151.467,83.0304,46.9909,29.105,26.7398,170.575,307.146,560.306,990.032,1598.44,1739.82,1.80065,3.2848,5.80408,9.37086,10.1997
roadNet-CA,1971281,5533214,2.80691,1318.56,682.133,364.465,196.158,149.674,109.419,4.19641,8.11163,15.1818,28.208,36.9683,50.5691,1.93299,3.61779,6.72192,8.80951,12.0506
chesapeake,39,340,8.71795,0.006104,0.013963,0.367519,0.111599,0.22609,0.505209,55.7012,24.3501,0.925122,3.04662,1.50383,0.672989,0.437155,0.0166087,0.0546958,0.0269981,0.0120821
hollywood-2009,1139905,113891327,99.913,284.25,184.441,124.146,86.7713,65.8675,63.0821,400.673,617.495,917.398,1312.55,1729.1,1805.45,1.54115,2.28964,3.27585,4.31548,4.50604
ldoor,952203,46522475,48.8577,272.596,152.357,84.1775,47.0874,29.2935,26.71,170.665,305.353,552.671,988.002,1588.15,1741.76,1.7892,3.23835,5.78914,9.30568,10.2057
roadNet-CA,1971281,5533214,2.80691,1326.72,686.31,366.471,193.293,108.275,106.891,4.1706,8.06226,15.0986,28.626,51.1035,51.765,1.93312,3.62025,6.86375,12.2533,12.4119
