N,nthreads,serial_ms,parallel_ms,speedup
4096,2,0.316,0.639,0.494
4096,4,0.316,0.337,0.937
4096,8,0.316,0.402,0.786
4096,16,0.316,0.641,0.492
4096,32,0.316,1.426,0.221
4096,64,0.316,7.651,0.041
8192,2,0.779,0.522,1.491
8192,4,0.779,1.519,0.513
8192,8,0.779,0.485,1.607
8192,16,0.779,0.778,1.001
8192,32,0.779,1.431,0.544
8192,64,0.779,8.053,0.097
16384,2,1.679,0.977,1.719
16384,4,1.679,1.004,1.673
16384,8,1.679,0.552,3.041
16384,16,1.679,0.891,1.884
16384,32,1.679,1.709,0.982
16384,64,1.679,3.531,0.475
32768,2,3.178,2.004,1.586
32768,4,3.178,1.282,2.479
32768,8,3.178,0.864,3.678
32768,16,3.178,1.066,2.981
32768,32,3.178,1.828,1.738
32768,64,3.178,3.935,0.808
65536,2,6.722,3.971,1.693
65536,4,6.722,2.301,2.922
65536,8,6.722,1.413,4.757
65536,16,6.722,1.331,5.052
65536,32,6.722,2.034,3.304
65536,64,6.722,14.033,0.479
131072,2,14.314,8.101,1.767
131072,4,14.314,4.592,3.117
131072,8,14.314,2.618,5.468
131072,16,14.314,1.876,7.629
131072,32,14.314,2.602,5.502
131072,64,14.314,4.738,3.021
262144,2,30.442,16.823,1.810
262144,4,30.442,9.149,3.327
262144,8,30.442,4.961,6.137
262144,16,30.442,3.205,9.499
262144,32,30.442,2.945,10.338
262144,64,30.442,6.184,4.923
524288,2,65.420,35.795,1.828
524288,4,65.420,19.335,3.383
524288,8,65.420,10.165,6.436
524288,16,65.420,6.011,10.884
524288,32,65.420,4.352,15.033
524288,64,65.420,6.754,9.686
